Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2024-03-15,286.3,288.9,285.3,287.6,287.6,28730980,0.0000,1.0
2024-03-14,286.7,287.6,285.1,286.1,286.1,11658370,0.0000,1.0
2024-03-13,286.4,286.6,283.6,286.0,286.0,17848961,0.0000,1.0
2024-03-12,284.0,286.0,282.8,285.8,285.8,24801539,0.0000,1.0
2024-03-11,285.1,286.6,282.2,282.2,282.2,33775449,0.0000,1.0
2024-03-08,284.7,286.4,282.9,286.2,286.2,10986940,0.0000,1.0
2024-03-07,280.0,284.4,280.0,283.7,283.7,46615898,0.0000,1.0
2024-03-06,276.6,282.2,276.16,280.4,280.4,34515367,0.0000,1.0
2024-03-05,275.0,276.3,272.8,276.3,276.3,25660600,0.0000,1.0
2024-03-04,277.1,277.1,273.6,275.9,275.9,15338000,0.0000,1.0
2024-03-01,280.1,281.5,277.1,277.6,277.6,20408211,0.0000,1.0
2024-02-29,278.2,280.9,277.5,278.8,278.8,21705221,0.0000,1.0
2024-02-28,278.9,280.7,275.5592,277.3,277.3,23160311,0.0000,1.0
2024-02-27,278.1,280.3,275.8,277.6,277.6,12826350,0.0000,1.0
2024-02-26,279.5,280.0,277.4,278.5,278.5,14325750,0.0000,1.0
2024-02-23,276.8,279.7,276.8,279.7,279.7,15990330,0.0000,1.0
2024-02-22,284.0,284.3,275.9,276.8,276.8,20826789,0.0000,1.0
2024-02-21,285.6,288.8,283.1,285.5,285.5,18231400,0.0000,1.0
2024-02-20,281.2,285.3,281.2,284.5,284.5,11066120,0.0000,1.0
2024-02-19,279.5,281.5,278.6,281.1,281.1,27436670,0.0000,1.0
2024-02-16,276.6,280.1,275.636,279.6,279.6,40962738,0.0000,1.0
2024-02-15,278.1,278.4,274.0,276.2,276.2,22333750,0.0000,1.0
2024-02-14,275.7,278.8,275.7,277.2,277.2,17059900,0.0000,1.0
2024-02-13,278.8,279.2,272.3,273.7,273.7,24051109,0.0000,1.0
2024-02-12,281.3,281.8,278.0,279.6,279.6,13404100,0.0000,1.0
2024-02-09,284.5,287.2,279.9,280.5,280.5,14468320,0.0000,1.0
